arbitrage_rank,arbitrage_multiple,poecurrency_title,poecurrency_category,poecurrency_price_usd,poecurrency_stock,listing_quantity,scout_name,scout_category,scout_kind,scout_divine_price,listing_divine_value,scout_quantity,price_per_divine_usd,usd_per_divine,direct_divine_price_usd
206,0.088,Omen of the Hunt,Crafted Currency / Ritual Omens,0.198,-1,1.0,Omen of the Hunt,Ritual Omens,currency,0.348296,0.348296,6,0.568482,0.568482,0.05
207,0.0872,Saqawal's Rune of the Sky,Socketable / Runes,0.05,-1,1.0,Saqawal's Rune of the Sky,Runes,currency,0.087246,0.087246,68,0.573092,0.573092,0.05
208,0.0854,Idol of the Sycophant,Socketable / Idol,0.01,-1,1.0,Idol of the Sycophant,Ritual Omens,currency,0.017078,0.017078,11,0.585538,0.585538,0.05
209,0.0848,Tzamoto's Soul Core of Ferocity,Socketable / Soul Cores,0.15,-1,1.0,Tzamoto's Soul Core of Ferocity,Soul Cores,currency,0.254519,0.254519,13,0.589347,0.589347,0.05
210,0.0846,Omen of the Ancients,Crafted Currency / Ritual Omens,0.011,-1,1.0,Omen of the Ancients,Ritual Omens,currency,0.018602,0.018602,861,0.591336,0.591336,0.05
211,0.0845,Medved's Tending,Socketable / Runes,0.12,-1,1.0,Medved's Tending,Runes,currency,0.202881,0.202881,16,0.59148,0.59148,0.05
212,0.0839,idol of Eeshta,Socketable / Idol,0.05,-1,1.0,Idol of Eeshta,Idols,currency,0.083863,0.083863,36,0.59621,0.59621,0.05
213,0.0827,Head of the King,Keys ＆ Maps / Pinnacle Boss Keys,2.046,-1,1.0,Head of the King,Ritual Omens,currency,3.382741,3.382741,378,0.604835,0.604835,0.05
214,0.0825,Estazunti's Soul Core of Convalescence,Socketable / Soul Cores,0.04,-1,1.0,Estazunti's Soul Core of Convalescence,Soul Cores,currency,0.065969,0.065969,11,0.606344,0.606344,0.05
215,0.0824,Perfect Essence of Flames,Crafted Currency / Essences,0.011,-1,1.0,Perfect Essence of Flames,Essences,currency,0.018125,0.018125,34,0.60691,0.60691,0.05
216,0.0815,Ancient Liquid Disgust,Crafted Currency / Distilled Items,0.011,-1,1.0,Ancient Liquid Disgust,Delirium,currency,0.017922,0.017922,5,0.613762,0.613762,0.05
217,0.0792,Warding Rune of Heart,Socketable / Runes,0.02,-1,1.0,Warding Rune of Heart,Runes,currency,0.031676,0.031676,3,0.631399,0.631399,0.05
218,0.0792,Thane Girt's Rune of Wildness,Socketable / Runes,0.01,-1,1.0,Thane Girt's Rune of Wildness,Runes,currency,0.015838,0.015838,4,0.631399,0.631399,0.05
219,0.0785,Thaumaturgic Flux (Level 8),Skill Gems & Support Gems / Thaumaturgic Flux,0.165,-1,1.0,Thaumaturgic Flux (Level 8),Expedition Coinage & Artifacts,currency,0.259165,0.259165,1,0.636661,0.636661,0.05
220,0.078,Greater Charging Rune,Socketable / Runes,0.01,-1,1.0,Greater Charging Rune,Runes,currency,0.015598,0.015598,12,0.641113,0.641113,0.05
221,0.0774,Tacati's Soul Core of Affliction,Socketable / Soul Cores,0.04,-1,1.0,Tacati's Soul Core of Affliction,Soul Cores,currency,0.061912,0.061912,2,0.646083,0.646083,0.05
222,0.0756,Zalatl's Soul Core of Insulation,Socketable / Soul Cores,0.02,-1,1.0,Zalatl's Soul Core of Insulation,Soul Cores,currency,0.030236,0.030236,8,0.661466,0.661466,0.05
223,0.0749,Soul Core of Zantipi,Socketable / Soul Cores,0.13,-1,1.0,Soul Core of Zantipi,Soul Cores,currency,0.194799,0.194799,5,0.667355,0.667355,0.05
224,0.0749,Fenumus' Rune of Agony,Socketable / Runes,0.04,-1,1.0,Fenumus' Rune of Agony,Runes,currency,0.059906,0.059906,21,0.667709,0.667709,0.05
225,0.0748,Arbiter's Ignition,Skill Gems & Support Gems / Lineage Support Gems,0.451,-1,1.0,Arbiter's Ignition,Lineage Support Gems,currency,0.674483,0.674483,18,0.668661,0.668661,0.05
226,0.0746,Rabbit idol,Socketable / Idol,0.12,-1,1.0,Rabbit Idol,Idols,currency,0.179068,0.179068,83,0.670135,0.670135,0.05
227,0.0733,Thaumaturgic Flux (Level 9),Skill Gems & Support Gems / Thaumaturgic Flux,0.165,-1,1.0,Thaumaturgic Flux (Level 9),Expedition Coinage & Artifacts,currency,0.241887,0.241887,1,0.682137,0.682137,0.05
228,0.072,Idol of Yeena,Socketable / Idol,0.02,-1,1.0,Idol of Yeena,Ritual Omens,currency,0.028796,0.028796,2,0.694539,0.694539,0.05
229,0.0718,Rune of the Blossom,Socketable / Runes,0.04,-1,1.0,Rune of the Blossom,Runes,currency,0.057408,0.057408,22,0.696762,0.696762,0.05
230,0.0708,Idol of Oak,Socketable / Idol,0.04,-1,1.0,Idol of Oak,Ritual Omens,currency,0.056632,0.056632,3,0.706311,0.706311,0.05
231,0.0704,Amanamu's Gaze,Socketable / Gaze,0.24,-1,1.0,Amanamu's Gaze,Abyssal Bones,currency,0.338139,0.338139,10,0.709767,0.709767,0.05
232,0.0668,Ancient Potent Liquid Ferocity,Crafted Currency / Distilled Items,0.011,-1,1.0,Ancient Potent Liquid Ferocity,Delirium,currency,0.014705,0.014705,21,0.748045,0.748045,0.05
233,0.0668,Carved Tenacity,Socketable / Runes,0.27,-1,1.0,Carved Tenacity,Expedition Coinage & Artifacts,currency,0.360802,0.360802,5,0.748334,0.748334,0.05
234,0.066,Idol of the Pharisee,Socketable / Idol,0.03,-1,1.0,Idol of the Pharisee,Ritual Omens,currency,0.039595,0.039595,4,0.757679,0.757679,0.05
235,0.066,The Greatwolf's Rune of Claws,Socketable / Runes,0.02,-1,1.0,The Greatwolf's Rune of Claws,Runes,currency,0.026396,0.026396,6,0.757679,0.757679,0.05
236,0.0654,Essence of Ruin,Crafted Currency / Essences,0.055,-1,1.0,Essence of Ruin,Essences,currency,0.07199,0.07199,1,0.763993,0.763993,0.05
237,0.0646,Hayoxi's Soul Core of Heatproofing,Socketable / Soul Cores,0.03,-1,1.0,Hayoxi's Soul Core of Heatproofing,Soul Cores,currency,0.038744,0.038744,11,0.774317,0.774317,0.05
238,0.0645,Expedition Logbook,Keys ＆ Maps / Expedition Coinace &amp; Artifacts,0.99,-1,1.0,Expedition Logbook,Expedition Coinage & Artifacts,currency,1.277781,1.277781,604,0.774781,0.774781,0.05
239,0.0628,Weathered Crisis Fragment,Keys ＆ Maps / Pinnacle Boss Keys,0.495,-1,1.0,Weathered Crisis Fragment,Fragments,currency,0.621258,0.621258,257,0.79677,0.79677,0.05
240,0.0624,Resolve Rune,Socketable / Runes,0.03,-1,1.0,Resolve Rune,Runes,currency,0.037435,0.037435,1,0.801391,0.801391,0.05
241,0.0619,Katla's Gloom,Socketable / Runes,0.24,-1,1.0,Katla's Gloom,Runes,currency,0.29703,0.29703,5,0.808,0.808,0.05
242,0.0618,Omen of Amelioration,Crafted Currency / Ritual Omens,0.044,-1,1.0,Omen of Amelioration,Ritual Omens,currency,0.054407,0.054407,1464,0.808723,0.808723,0.05
243,0.0613,Omen of Catalysing Exaltation,Crafted Currency / Ritual Omens,0.022,-1,1.0,Omen of Catalysing Exaltation,Ritual Omens,currency,0.026986,0.026986,314,0.81524,0.81524,0.05
244,0.0602,Kolr's Hunt,Socketable / Runes,0.36,-1,1.0,Kolr's Hunt,Runes,currency,0.433659,0.433659,52,0.830145,0.830145,0.05
245,0.0602,Thaumaturgic Flux (Level 10),Skill Gems & Support Gems / Thaumaturgic Flux,0.165,-1,1.0,Thaumaturgic Flux (Level 10),Expedition Coinage & Artifacts,currency,0.198693,0.198693,1,0.830427,0.830427,0.05
246,0.0586,idol of Egrin,Socketable / Idol,0.02,-1,1.0,Idol of Egrin,Idols,currency,0.023448,0.023448,7,0.852943,0.852943,0.05
247,0.0568,Perfect Essence of Ice,Crafted Currency / Essences,0.011,-1,1.0,Perfect Essence of Ice,Essences,currency,0.012499,0.012499,47,0.88009,0.88009,0.05
248,0.0563,Ire of Aldur,Socketable / Runes,0.05,-1,1.0,Ire of Aldur,Runes,currency,0.056324,0.056324,4,0.887719,0.887719,0.05
249,0.0563,Perfect Essence of Sorcery,Crafted Currency / Essences,0.011,-1,1.0,Perfect Essence of Sorcery,Essences,currency,0.012382,0.012382,10,0.888364,0.888364,0.05
250,0.0549,Serle's Triumph,Socketable / Runes,1.21,-1,1.0,Serle's Triumph,Runes,currency,1.327504,1.327504,23,0.911485,0.911485,0.05
251,0.0545,Transcendent Alloy,Crafted Currency / Alloy,0.077,-1,1.0,Transcendent Alloy,Verisium,currency,0.084003,0.084003,80,0.916629,0.916629,0.05
252,0.0542,Ailith's Chimes,Skill Gems & Support Gems / Lineage Support Gems,0.1089,-1,1.0,Ailith's Chimes,Lineage Support Gems,currency,0.118148,0.118148,27,0.921725,0.921725,0.05
253,0.0538,Greater Rune of Leadership,Socketable / Runes,0.62,-1,1.0,Greater Rune of Leadership,Runes,currency,0.667092,0.667092,8,0.929407,0.929407,0.05
254,0.0533,Xipocado's Soul Core of Dominion,Socketable / Soul Cores,0.04,-1,1.0,Xipocado's Soul Core of Dominion,Soul Cores,currency,0.042618,0.042618,15,0.938566,0.938566,0.05
255,0.0532,Essence of Hysteria,Crafted Currency / Essences,0.473,-1,1.0,Essence of Hysteria,Essences,currency,0.502938,0.502938,66,0.940474,0.940474,0.05
256,0.0526,Lesser Glacial Rune,Socketable / Runes,0.03,-1,1.0,Lesser Glacial Rune,Runes,currency,0.031532,0.031532,54,0.951427,0.951427,0.05
257,0.0524,Lesser Essence of Haste,Crafted Currency / Essences,0.022,-1,1.0,Lesser Essence of Haste,Essences,currency,0.023037,0.023037,2,0.954991,0.954991,0.05
258,0.0523,Hedgewitch Assandra's Rune of Wisdom,Socketable / Runes,0.09,-1,1.0,Hedgewitch Assandra's Rune of Wisdom,Runes,currency,0.094158,0.094158,75,0.955838,0.955838,0.05
259,0.0521,Greater Iron Rune,Socketable / Runes,0.01,-1,1.0,Greater Iron Rune,Runes,currency,0.010426,0.010426,322,0.959148,0.959148,0.05
260,0.0504,Quipolatl's Soul Core of Flow,Socketable / Soul Cores,0.17,-1,1.0,Quipolatl's Soul Core of Flow,Soul Cores,currency,0.171487,0.171487,11,0.99133,0.99133,0.05
261,0.0504,Lesser Storm Rune,Socketable / Runes,0.03,-1,1.0,Lesser Storm Rune,Runes,currency,0.030236,0.030236,6,0.992199,0.992199,0.05
262,0.0497,Reaver Catalyst,Crafted Currency / Breach Catalysts,0.187,-1,1.0,Reaver Catalyst,Breach,currency,0.185858,0.185858,1685,1.006146,1.006146,0.05
263,0.0491,Omen of Reinforcements,Crafted Currency / Ritual Omens,0.088,-1,1.0,Omen of Reinforcements,Ritual Omens,currency,0.086388,0.086388,6,1.018657,1.018657,0.05
264,0.0489,idol of Sirrius,Socketable / Idol,0.15,-1,1.0,Idol of Sirrius,Idols,currency,0.146716,0.146716,44,1.022381,1.022381,0.05
265,0.0484,Uruk's Smelting,Skill Gems & Support Gems / Lineage Support Gems,0.0297,-1,1.0,Uruk's Smelting,Lineage Support Gems,currency,0.028754,0.028754,50,1.0329,1.0329,0.05
266,0.0456,Ancient Potent Liquid Melancholy,Crafted Currency / Distilled Items,0.044,-1,1.0,Ancient Potent Liquid Melancholy,Delirium,currency,0.040155,0.040155,47,1.095767,1.095767,0.05
267,0.0444,Greater Essence of Opulence,Crafted Currency / Essences,0.033,-1,1.0,Greater Essence of Opulence,Essences,currency,0.029299,0.029299,187,1.126309,1.126309,0.05
268,0.0436,Essence of Thawing,Crafted Currency / Essences,0.033,-1,1.0,Essence of Thawing,Essences,currency,0.028796,0.028796,1,1.14599,1.14599,0.05
269,0.0432,Betrayal of Aldur,Socketable / Runes,0.02,-1,1.0,Betrayal of Aldur,Runes,currency,0.017278,0.017278,5,1.157565,1.157565,0.05
